GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
est72015sex0_age999,Population Estimates (as of July 1) - 2015 - Both Sexes; Total
est72015sex1_age999,Population Estimates (as of July 1) - 2015 - Male; Total
est72015sex2_age999,Population Estimates (as of July 1) - 2015 - Female; Total
