"STATEFIP","AGE.CAT","EDUC.CAT","INC.CAT","SEX","cell.freq","state.freq","cell.percent","region","region.alpha","state.name","state.alpha","dis.index.08","black.pct.08","black.poverty.08","gini.08"
1,2,4,2,0,20,23327,0.000857375573369915,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,4,1,1,62,23327,0.00265786427744674,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,1,4,1,36,23327,0.00154327603206585,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,3,1,0,35,23327,0.00150040725339735,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,3,3,0,83,23327,0.00355810862948515,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,3,3,0,20,23327,0.000857375573369915,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,1,1,1,998,23327,0.0427830411111587,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,3,2,1,110,23327,0.00471556565353453,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,1,3,1,236,23327,0.010117031765765,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,1,1,0,738,23327,0.0316371586573499,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,3,2,0,23,23327,0.000985981909375402,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,4,2,1,70,23327,0.0030008145067947,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,2,3,1,97,23327,0.00415827153084409,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,2,3,0,160,23327,0.00685900458695932,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,3,3,1,140,23327,0.0060016290135894,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,1,4,1,58,23327,0.00248638916277275,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,4,1,1,11,23327,0.000471556565353453,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,2,2,1,71,23327,0.0030436832854632,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,4,3,1,70,23327,0.0030008145067947,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,1,4,0,62,23327,0.00265786427744674,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,3,4,1,23,23327,0.000985981909375402,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,1,3,1,201,23327,0.00861662451236764,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,3,2,0,41,23327,0.00175761992540833,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,1,3,0,175,23327,0.00750203626698675,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,3,2,0,33,23327,0.00141466969606036,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,4,4,1,37,23327,0.00158614481073434,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,3,1,1,91,23327,0.00390105885883311,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,1,2,1,469,23327,0.0201054571955245,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,4,4,0,1,23327,4.28687786684957e-05,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,3,1,0,32,23327,0.00137180091739186,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,2,4,1,97,23327,0.00415827153084409,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,2,2,1,155,23327,0.00664466069361684,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,4,3,1,75,23327,0.00321515840013718,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
